"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"SWPI","PIN","Parintins Airport","Parintins","Amazonas","BR","87","-2.67302","-56.7772","America/Boa_Vista",""
"SWPM","PBQ","Pimenta Bueno Airport","Pimenta Bueno","","BR","682","-11.6416","-61.1791","America/Porto_Velho",""
"SWPQ","PBX","Fazenda Piraguassu Airport","Porto Alegre Do Norte","Mato Grosso do Sul","BR","705","-10.86111","-51.685","America/Cuiaba",""
"SWRA","AAI","Arraias Airport","Arraias","Tocantins","BR","1923","-13.02389","-46.88556","America/Araguaina",""
"SWRD","ROO","Rondonopolis Airport","Rondonopolis","Mato Grosso do Sul","BR","1467","-16.586","-54.7248","America/Cuiaba",""
"SWSI","OPS","Presidente Joao Batista Figueiredo Airport","Sinop","Mato Grosso do Sul","BR","1227","-11.885","-55.58611","America/Campo_Grande",""
"SWST","STZ","Santa Terezinha Airport","Santa Terezinha","Tocantins","BR","663","-10.46472","-50.51861","America/Araguaina",""
"SWTP","IRZ","Tapuruquara Airport","Santa Isabel Do Rio Negro","Amazonas","BR","223","-0.41694","-65.03389","America/Manaus",""
"SWTS","TGQ","Tangara da Serra Airport","Tangara Da Serra","Mato Grosso do Sul","BR","1460","-14.662","-57.4435","America/Cuiaba",""
"SWTU","AZL","Fazenda Tucunare Airport","Sapezal","Mato Grosso do Sul","BR","1814","-13.46553","-58.86693","America/Cuiaba",""
"SWTY","QHN","Taguatinga Airport","Taguatinga","Tocantins","BR","1959","-12.43389","-46.40055","America/Araguaina",""
"SWUA","SQM","Sao Miguel do Araguaia Airport","Sao Miguel Do Araguaia","Goiás","BR","1249","-13.3313","-50.1976","America/Sao_Paulo",""
"SWVB","MTG","Vila Bela da Santissima Trindade Airport","Vila Bela Da Santissima Trindade","Mato Grosso do Sul","BR","886","-15.01528","-59.96722","America/Cuiaba",""
"SWVC","VLP","Vila Rica Airport","Vila Rica","Mato Grosso do Sul","BR","892","-9.97944","-51.14222","America/Cuiaba",""
"SWXM","MBK","Regional Orlando Villas Boas Airport","Matupa","Mato Grosso do Sul","BR","886","-10.17028","-54.95278","America/Cuiaba",""
"SWXV","NOK","Xavantina Airport","Nova Xavantina","Mato Grosso do Sul","BR","1035","-14.6983","-52.3464","America/Cuiaba",""
"SYAH","AHL","Aishalton Airport","Aishalton","Upper-Takutu-Upper-Essequibo","GY","587","2.48653","-59.3134","America/Guyana",""
"SYAN","NAI","Annai Airport","Annai","Upper-Takutu-Upper-Essequibo","GY","301","3.95944","-59.1242","America/Guyana",""
"SYBE","BCG","Bemichi Airport","Bemichi","Barima-Waini","GY","94","7.7","-59.16666","America/Guyana",""
"SYBR","BMJ","Baramita Airport","Baramita","Barima-Waini","GY","328","7.37012","-60.488","America/Guyana",""
"SYBT","GFO","Bartica A Airport","Bartica","Cuyuni-Mazaruni","GY","3","6.37477","-58.6381","America/Guyana",""
"SYCJ","GEO","Cheddi Jagan International Airport","Georgetown","Demerara-Mahaica","GY","95","6.49855","-58.2541","America/Guyana",""
"SYGO","OGL","Ogle Airport","Ogle","Demerara-Mahaica","GY","10","6.80628","-58.1059","America/Guyana",""
"SYIB","IMB","Imbaimadai Airport","Imbaimadai","Cuyuni-Mazaruni","GY","1646","5.70811","-60.2942","America/Guyana",""
"SYKM","KAR","Kamarang Airport","Kamarang","Cuyuni-Mazaruni","GY","1601","5.86534","-60.6142","America/Guyana",""
"SYKR","KRM","Karanambo Airport","Karanambo","Upper-Takutu-Upper-Essequibo","GY","300","3.75194","-59.3097","America/Guyana",""
"SYKS","KRG","Karasabai Airport","Karasabai","Upper-Takutu-Upper-Essequibo","GY","731","4.03333","-59.5333","America/Guyana",""
"SYKT","KTO","Kato Airport","Kato","Potaro-Siparuni","GY","2299","4.64916","-59.8322","America/Guyana",""
"SYLP","LUB","Lumid Pau Airport","Lumid Pau","Upper-Takutu-Upper-Essequibo","GY","656","2.39393","-59.441","America/Guyana",""
"SYLT","LTM","Lethem Airport","Lethem","Upper-Takutu-Upper-Essequibo","GY","351","3.37276","-59.7894","America/Guyana",""
"SYMB","USI","Mabaruma Airport","Mabaruma","Barima-Waini","GY","45","8.2","-59.7833","America/Guyana",""
"SYMD","MHA","Mahdia Airport","Mahdia","Potaro-Siparuni","GY","300","5.27749","-59.1511","America/Guyana",""
"SYMM","MYM","Monkey Mountain Airport","Monkey Mountain","Potaro-Siparuni","GY","1456","4.48333","-59.6833","America/Guyana",""
